"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Alcam5",9.45516117785841e-05,0.353883506815271,0.412,0.172,1,"18","Alcam"
"Fkbp1a1",9.46411294269905e-05,0.482886898954471,0.882,0.693,1,"18","Fkbp1a"
"Abl21",0.000103839387120598,0.420202365787161,0.353,0.139,1,"18","Abl2"
"Ptprs",0.000107126012964444,0.303020275393116,0.441,0.18,1,"18","Ptprs"
"Vim7",0.000108626130396032,0.409789465915533,1,0.93,1,"18","Vim"
"Abhd11",0.000117527344160296,0.250479249550411,0.265,0.083,1,"18","Abhd11"
"Rgcc4",0.000124446308629305,0.432451147578705,0.941,0.725,1,"18","Rgcc"
"Usp7",0.000125316593889105,0.277180289550363,0.471,0.204,1,"18","Usp7"
"Lamp15",0.000126062854763963,0.463794320075922,0.824,0.616,1,"18","Lamp1"
"Cdkn1a5",0.000129950851150417,0.328497169273887,1,0.91,1,"18","Cdkn1a"
"Ctnna16",0.000153010082662524,0.507177088207035,0.618,0.352,1,"18","Ctnna1"
"Sertad24",0.000171384685274244,0.365861437502987,0.706,0.382,1,"18","Sertad2"
"Lpp",0.000183723837194211,0.257177506196411,0.294,0.103,1,"18","Lpp"
"Gm424182",0.000185748910569335,0.449141064786233,0.941,0.944,1,"18","Gm42418"
"Nckap11",0.000197899132463744,0.316278583871125,0.353,0.136,1,"18","Nckap1"
"Arrdc3",0.000202254658480216,0.31132125537335,0.412,0.167,1,"18","Arrdc3"
"Tax1bp31",0.000209893448950686,0.579394270572063,0.529,0.286,1,"18","Tax1bp3"
"Hspa21",0.000220555093162875,0.357577876983904,0.559,0.258,1,"18","Hspa2"
"Sep151",0.000227396982117861,0.488675931016175,0.941,0.757,1,"18","Sep15"
"Plekha5",0.000227996120423348,0.387017827145572,0.382,0.159,1,"18","Plekha5"
"Pi4k2b",0.000245855234158465,0.494438838358485,0.265,0.089,1,"18","Pi4k2b"
"Atp13a31",0.000252865125553936,0.275896095414594,0.412,0.182,1,"18","Atp13a3"
"Tbcc",0.000261575706369372,0.488151216838348,0.382,0.167,1,"18","Tbcc"
"Tmbim12",0.000268894637175413,0.483964487333242,0.618,0.35,1,"18","Tmbim1"
"Zfp36l13",0.000273914470853804,0.482767402560792,0.941,0.692,1,"18","Zfp36l1"
"Txlna",0.000287535933142034,0.360296566415317,0.5,0.22,1,"18","Txlna"
"Spry23",0.000302684386253994,0.603143209355872,0.529,0.264,1,"18","Spry2"
"Vkorc11",0.000306128460113649,0.256050555792899,0.324,0.122,1,"18","Vkorc1"
"Mat2a1",0.000331154221442364,0.448946849881347,0.912,0.679,1,"18","Mat2a"
"Wsb1",0.000341745666839311,0.285201381413353,0.794,0.457,1,"18","Wsb1"
"Ube2q2",0.000374614802499658,0.319925359325945,0.324,0.128,1,"18","Ube2q2"
"Pde6d",0.000374801441054724,0.283389602336931,0.294,0.107,1,"18","Pde6d"
"Csrnp11",0.00037602835189725,0.375394221231105,0.882,0.566,1,"18","Csrnp1"
"R3hdm2",0.0003764016801574,0.251619503403673,0.412,0.176,1,"18","R3hdm2"
"Camk2d1",0.000379785277352647,0.3195042761324,0.5,0.241,1,"18","Camk2d"
