"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"H2afz3",1.28653624239344e-32,0.610236233882076,1,0.977,3.60551781930761e-28,"11","H2afz"
"Spop",2.53210174050647e-32,0.36321912413767,0.75,0.354,7.09621512776938e-28,"11","Spop"
"Cyfip12",3.68392665348882e-32,0.305661175522078,0.643,0.274,1.03242044464024e-27,"11","Cyfip1"
"Krcc1",3.72361451599989e-32,0.390888626495908,0.689,0.319,1.04354296810897e-27,"11","Krcc1"
"Ebi3",6.27315968045011e-32,0.368731572170596,0.291,0.082,1.75805300044614e-27,"11","Ebi3"
"Uap13",1.13673942760124e-31,0.660901160441641,0.738,0.405,3.18571224585249e-27,"11","Uap1"
"Traf12",1.30799569757117e-31,0.563545210378747,0.975,0.729,3.66565794244321e-27,"11","Traf1"
"Alcam2",3.60282589539779e-31,0.290848983796544,0.459,0.168,1.00969195718523e-26,"11","Alcam"
"Rala2",4.25740699765275e-31,0.406832837101252,0.877,0.496,1.19313831109218e-26,"11","Rala"
"Nfat5",9.52436372723697e-31,0.33866916388803,0.672,0.301,2.66920293455816e-26,"11","Nfat5"
"H2-Q72",1.20938382881873e-30,0.51970962007025,0.799,0.405,3.38929818026449e-26,"11","H2-Q7"
"Ggta1",1.2359957828972e-30,0.303666134558563,0.463,0.172,3.4638781815694e-26,"11","Ggta1"
"Sh3glb1",1.37195589188905e-30,0.414345463062152,0.975,0.743,3.84490638701907e-26,"11","Sh3glb1"
"Plxnd1",1.42041256330088e-30,0.26072369434717,0.381,0.127,3.98070620865072e-26,"11","Plxnd1"
"Atpif14",2.02537115926744e-30,0.509994899730176,0.889,0.596,5.67610267384699e-26,"11","Atpif1"
"Stxbp3",2.61410437144077e-30,0.388223565036532,0.582,0.25,7.32602750096274e-26,"11","Stxbp3"
"Ostf12",4.55243727706766e-30,0.639641369122288,0.959,0.75,1.27582054689821e-25,"11","Ostf1"
"Arpc51",4.9448815548038e-30,0.402158278539609,0.988,0.88,1.38580305573376e-25,"11","Arpc5"
"Gpr1833",7.42269760663087e-30,0.712611524172834,0.623,0.305,2.0802110042583e-25,"11","Gpr183"
"H3f3a1",7.71504679105841e-30,0.333772863523562,1,0.979,2.16214186319412e-25,"11","H3f3a"
"Bak1",8.28813649340631e-30,0.307187234046649,0.525,0.21,2.32275025227712e-25,"11","Bak1"
"Nckap1l",1.33264560372315e-29,0.321093435779004,0.484,0.188,3.73473930443413e-25,"11","Nckap1l"
"Gpr1323",1.47388743970792e-29,0.369083681017571,0.844,0.438,4.13056954978144e-25,"11","Gpr132"
"Pyhin11",2.01314864099836e-29,0.462312228301552,0.443,0.167,5.64184906639791e-25,"11","Pyhin1"
"B2m3",2.62373335908253e-29,0.464193579690387,1,0.976,7.3530127388288e-25,"11","B2m"
"Dapp11",2.67158924779084e-29,0.30072404532578,0.578,0.242,7.48712886693383e-25,"11","Dapp1"
"Rnf1141",2.84348089946269e-29,0.339943619984343,0.643,0.291,7.9688552207442e-25,"11","Rnf114"
"Hax1",2.93200461231167e-29,0.352290918547403,0.607,0.272,8.21694292600345e-25,"11","Hax1"
"Tspo3",3.4791313398497e-29,0.651413101705004,0.947,0.816,9.75026557992879e-25,"11","Tspo"
"Gpcpd1",5.13823036885926e-29,0.393244118541518,0.586,0.26,1.43998906087281e-24,"11","Gpcpd1"
"Jup1",6.79128667672198e-29,0.288826800830362,0.533,0.213,1.90325809115134e-24,"11","Jup"
"Zdhhc3",7.15844691198675e-29,0.254410575560593,0.455,0.17,2.00615474708429e-24,"11","Zdhhc3"
"Mxi12",7.58316277390284e-29,0.378883726294288,0.611,0.275,2.12518136738627e-24,"11","Mxi1"
"Brk1",9.78727997185469e-29,0.388247664464172,0.926,0.568,2.74288521211228e-24,"11","Brk1"
"Epb41",1.55077751717006e-28,0.302523526261476,0.385,0.134,4.3460539918691e-24,"11","Epb41"
"Mtss11",1.79387835427315e-28,0.416538542384754,0.402,0.15,5.0273440878505e-24,"11","Mtss1"
"Tap21",2.79546834070817e-28,0.362118805295342,0.59,0.257,7.83430002483465e-24,"11","Tap2"
